date,hour_local,hour_utc,type,magnitude,latitude,longitude
2001-06-21,12.259444444444444,12.079444444444444,Total,1.05,-11.3,2.7
2001-12-14,12.170277777777779,20.88361111111111,Annular,0.968,0.6,-130.7
2002-06-10,11.849444444444444,23.75611111111111,Annular,0.996,34.5,-178.6
2002-12-04,11.511111111111111,7.5377777777777775,Total,1.024,-39.5,59.6
2003-05-31,2.522777777777778,4.1561111111111115,Annular,0.938,66.6,-24.5
2003-11-23,4.732777777777778,22.839444444444446,Total,1.038,-72.7,88.4
2004-04-19,16.538055555555555,13.584722222222222,Partial,0.737,-61.6,44.3
2004-10-14,16.759722222222223,3.006388888888889,Partial,0.9279999999999999,61.2,-153.7
2005-04-08,12.680833333333334,20.614166666666666,Hybrid,1.0070000000000001,-10.6,-119.0
2005-10-03,12.459722222222222,10.546388888888888,Annular,0.958,12.9,28.7
2006-03-29,11.319722222222222,10.206388888888888,Total,1.052,23.2,16.7
2006-09-22,11.081111111111111,11.687777777777777,Annular,0.935,-20.6,-9.1
2007-03-19,6.2491666666666665,2.549166666666667,Partial,0.8759999999999999,61.0,55.5
2007-09-11,6.526666666666666,12.54,Partial,0.7509999999999999,-61.0,-90.2
2008-02-07,17.90277777777778,3.936111111111111,Annular,0.965,-67.6,-150.5
2008-08-01,15.19,10.37,Total,1.0390000000000001,65.7,72.3
2009-01-26,12.675833333333333,7.995833333333334,Annular,0.9279999999999999,-34.1,70.2
2009-07-22,12.213611111111112,2.6069444444444443,Total,1.08,24.2,144.1
2010-01-15,11.7475,7.1275,Annular,0.919,1.6,69.3
2010-07-11,11.450555555555555,19.577222222222222,Total,1.058,-19.7,-121.9
2011-01-04,10.248333333333333,8.861666666666666,Partial,0.858,64.7,20.8
2011-06-01,0.4083333333333333,21.288333333333334,Partial,0.601,67.8,46.8
2011-07-01,10.565,8.658333333333333,Partial,0.09699999999999999,-65.2,28.6
2011-11-25,0.8633333333333333,6.3566666666666665,Partial,0.905,-68.6,-82.4
2012-05-20,11.651666666666667,23.898333333333333,Annular,0.9440000000000001,49.1,176.3
2012-11-13,11.461944444444445,22.21527777777778,Total,1.05,-40.0,-161.3
2013-05-10,12.13888888888889,0.4388888888888889,Annular,0.9540000000000001,2.2,175.5
2013-11-03,12.013333333333334,12.793333333333333,Hybrid,1.016,3.5,-11.7
2014-04-29,14.829166666666667,6.075833333333334,Annular (non-central),0.987,-70.6,131.3
2014-10-23,15.280833333333334,21.760833333333334,Partial,0.8109999999999999,71.2,-97.2
2015-03-20,9.339722222222223,9.779722222222222,Total,1.045,64.4,-6.6
2015-09-13,6.768611111111111,6.921944444444445,Partial,0.7879999999999999,-72.1,-2.3
2016-03-09,11.891944444444444,1.9719444444444445,Total,1.045,10.1,148.8
2016-09-01,11.653888888888888,9.133888888888889,Annular,0.9740000000000001,-10.7,37.8
2017-02-26,12.829166666666667,14.909166666666666,Annular,0.992,-34.7,-31.2
2017-08-21,12.597777777777777,18.444444444444443,Total,1.031,37.0,-87.7
2018-02-15,20.91583333333333,20.875833333333333,Partial,0.599,-71.0,0.6
2018-07-13,11.53111111111111,3.037777777777778,Partial,0.336,-67.9,127.4
2018-08-11,21.424444444444443,9.79111111111111,Partial,0.737,70.4,174.5
2019-01-06,11.950555555555555,1.7105555555555556,Partial,0.715,67.4,153.6
2019-07-02,12.135555555555555,19.40222222222222,Total,1.046,-17.4,-109.0
2019-12-26,12.134722222222223,5.314722222222223,Annular,0.97,1.0,102.3
2020-06-21,12.000833333333333,6.6875,Annular,0.9940000000000001,30.5,79.7
2020-12-14,11.7175,16.24416666666667,Total,1.025,-40.3,-67.9
2021-06-10,6.2652777777777775,10.71861111111111,Annular,0.943,80.8,-66.8
2021-12-04,4.497222222222222,7.577222222222222,Total,1.037,-76.8,-46.2
2022-04-30,15.943333333333333,20.71,Partial,0.64,-62.1,-71.5
2022-10-25,16.182222222222222,11.022222222222222,Partial,0.862,61.6,77.4
2023-04-20,12.685555555555556,4.2988888888888885,Hybrid,1.013,-9.6,125.8
2023-10-14,12.471388888888889,18.011388888888888,Annular,0.9520000000000001,11.4,-83.1
2024-04-08,11.368055555555555,18.308055555555555,Total,1.057,25.3,-104.1
2024-10-02,11.136944444444444,18.77027777777778,Annular,0.9329999999999999,-22.0,-114.5
2025-03-29,5.67,10.81,Partial,0.938,61.1,-77.1
2025-09-21,5.9511111111111115,19.717777777777776,Partial,0.855,-60.9,153.5
2026-02-17,18.005,12.218333333333334,Annular,0.963,-64.7,86.8
2026-08-12,16.105,17.785,Total,1.0390000000000001,65.2,-25.2
