country,year,growth,unem,capmob,trade
United States,1966,5.1111407,3.8,0,9.622906
United States,1967,2.2772829,3.8,0,9.983546
United States,1968,4.7,3.6,0,10.08912
United States,1969,2.8,3.5,0,10.43593
United States,1970,-0.2,4.9,0,10.49535
United States,1971,3.1,5.9,0,11.27827
United States,1972,5.4,5.6,0,11.21771
United States,1973,5.7,4.9,0,11.76705
United States,1974,-0.9,5.6,0,13.77255
United States,1975,-0.8,8.5,0,17.42326
United States,1976,4.7,7.7,0,16.52211
United States,1977,5.5,7.1,0,17.234920000000002
United States,1978,4.7,6.1,0,17.54099
United States,1979,2.6,5.8,0,18.17591
United States,1980,-0.4,7.1,0,19.73285
United States,1981,3.4,7.5,0,21.51057
United States,1982,-3.0,9.5,0,20.53895
United States,1983,2.9,9.5,0,18.56972
United States,1984,7.2,7.5,0,17.81588
United States,1985,3.8,7.1,0,18.02899
United States,1986,2.8,7.0,0,17.20371
United States,1987,3.7,6.2,0,17.23095
United States,1988,4.6,5.5,0,18.29418
United States,1989,2.8,5.2700837,0,19.413526
United States,1990,0.9,5.4145596,0,20.638364000000006
Canada,1966,6.802167599999999,3.6,0,38.45467
Canada,1967,2.9236458,4.1,0,40.16167
Canada,1968,5.6,4.8,0,41.06574000000001
Canada,1969,5.2,4.7,0,42.76849
Canada,1970,2.6,5.9,0,44.16533
Canada,1971,7.0,6.4,0,43.8499
Canada,1972,5.8,6.3,0,42.67813
Canada,1973,7.5,5.6,0,43.88472
Canada,1974,3.5,5.4,0,46.41543
Canada,1975,1.1,6.9,0,50.49331
Canada,1976,6.1,7.1,0,48.16162
Canada,1977,2.2,8.1,0,46.12166
Canada,1978,3.9,8.4,0,48.00311
Canada,1979,3.4,7.5,0,51.22656
Canada,1980,1.0,7.5,0,54.93203000000001
Canada,1981,4.0,7.6,0,55.77161
Canada,1982,-4.3,11.0,0,54.325
Canada,1983,2.8,11.9,0,48.58355
Canada,1984,5.4,11.3,0,48.40208
Canada,1985,4.7,10.5,0,53.52345
Canada,1986,3.1,9.6,0,54.3082
Canada,1987,4.5,8.9,0,53.4611
Canada,1988,5.0,7.8,0,52.15683
Canada,1989,2.4,7.4952143,0,52.077395
Canada,1990,0.4,8.059593,0,49.932476
United Kingdom,1966,1.8770983,1.5,-1,37.9319
United Kingdom,1967,2.2550651000000004,2.3,-1,37.83032
United Kingdom,1968,4.1,2.5,-1,37.76296
United Kingdom,1969,1.5,2.4,-2,41.92546
United Kingdom,1970,2.2,2.6,-2,42.79789
United Kingdom,1971,2.7,3.5,-1,44.08434000000001
United Kingdom,1972,2.3,3.8,-1,43.51069
